,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
0,0,Saint-Pierre,RE,-21.3393,55.4781,78.91,61,0,18.41,clear sky,Alize Plage
2,2,Port Alfred,ZA,-33.5906,26.891,70.57,80,100,7.52,overcast clouds,The Halyards Hotel
3,3,Hithadhoo,MV,-0.6,73.0833,80.8,71,97,9.06,overcast clouds,Scoop Guest House
6,6,Iguape,BR,-24.7081,-47.5553,66.88,95,27,3.62,scattered clouds,Hotel Pousada Nossa Senhora do Carmo
11,11,Yanam,IN,16.7333,82.2167,87.33,65,80,5.19,broken clouds,The Regency Hotel
12,12,Niquero,CU,20.0431,-77.5828,77.31,87,37,10.71,scattered clouds,Islazul Niquero
14,14,Mahebourg,MU,-20.4081,57.7,73.69,73,40,5.75,scattered clouds,Shandrani Beachcomber Resort & Spa
17,17,Beruwala,LK,6.4788,79.9828,77.05,89,71,9.37,broken clouds,The Palms Hotel
22,22,Bukama,CD,-9.2,25.85,72.41,82,21,1.7,few clouds,
23,23,Orocue,CO,4.7912,-71.3354,74.07,93,98,4.72,overcast clouds,Hotel Brisas de San Miguel
26,26,Sao Filipe,CV,14.8961,-24.4956,77.72,76,73,8.79,broken clouds,Hotel Xaguate
27,27,Banda Aceh,ID,5.5577,95.3222,85.14,65,98,15.23,light rain,OYO 884 Rumoh PMI Hotel
29,29,Marsa Matruh,EG,31.3525,27.2453,71.58,69,34,17.0,light rain,Beau Site
30,30,Fez,MA,34.0372,-4.9998,82.65,22,0,18.41,clear sky,Hotel Mounia Fès
31,31,East London,ZA,-33.0153,27.9116,65.34,94,100,6.91,fog,Tu Casa
33,33,Aswan,EG,24.0934,32.907,77.22,33,23,13.91,few clouds,Nuba Nile
34,34,Mitu,CO,1.1983,-70.1733,69.66,100,98,1.72,overcast clouds,
35,35,Jacareacanga,BR,-6.2222,-57.7528,74.52,87,60,1.9,broken clouds,Casa do Ian😎
36,36,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky,Hôtel Le Dronmi
37,37,Mitsamiouli,KM,-11.3847,43.2844,76.23,76,1,10.18,clear sky,Foyer ADM
41,41,San-Pedro,CI,4.7485,-6.6363,72.97,95,95,4.36,light rain,Hotel Maria
42,42,Palmas,BR,-10.2128,-48.3603,82.27,54,40,2.3,scattered clouds,Hotel Lago da Palma
43,43,Bardiyah,LY,31.7561,25.0865,70.32,68,15,14.18,few clouds,بورتو بردية
44,44,Kochinda,IN,21.7333,84.35,85.96,68,6,3.58,clear sky,OYO 88952 Hotel Royal Galaxy
45,45,Port Elizabeth,ZA,-33.918,25.5701,70.32,90,0,6.91,clear sky,39 On Nile Guest House
