City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Pierre,RE,-21.3393,55.4781,78.91,61,0,18.41,clear sky
1,Olafsvik,IS,64.8945,-23.7142,37.18,78,56,8.25,broken clouds
2,Port Alfred,ZA,-33.5906,26.891,70.57,80,100,7.52,overcast clouds
3,Hithadhoo,MV,-0.6,73.0833,80.8,71,97,9.06,overcast clouds
4,Taquari,BR,-29.7997,-51.8644,64.33,96,54,1.52,broken clouds
5,Kruisfontein,ZA,-34.0033,24.7314,64.89,80,100,7.54,light rain
6,Iguape,BR,-24.7081,-47.5553,66.88,95,27,3.62,scattered clouds
7,Cape Town,ZA,-33.9258,18.4232,63.12,86,75,12.66,broken clouds
8,Mikhaylovka,RU,50.06,43.2379,35.71,66,0,2.73,clear sky
9,Ascope,PE,-7.7144,-79.1078,56.53,78,72,3.0,broken clouds
10,Dikson,RU,73.5069,80.5464,31.14,98,100,12.15,light snow
11,Yanam,IN,16.7333,82.2167,87.33,65,80,5.19,broken clouds
12,Niquero,CU,20.0431,-77.5828,77.31,87,37,10.71,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,44.26,61,75,3.44,broken clouds
14,Mahebourg,MU,-20.4081,57.7,73.69,73,40,5.75,scattered clouds
15,Klaksvik,FO,62.2266,-6.589,45.52,89,88,26.11,light rain
16,Nuuk,GL,64.1835,-51.7216,36.21,75,75,4.61,broken clouds
17,Beruwala,LK,6.4788,79.9828,77.05,89,71,9.37,broken clouds
18,Ilulissat,GL,69.2167,-51.1,37.42,70,100,1.14,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,13.8,clear sky
20,Rawson,AR,-43.3002,-65.1023,47.3,85,98,6.58,overcast clouds
21,Cidreira,BR,-30.1811,-50.2056,62.26,98,68,4.23,broken clouds
22,Bukama,CD,-9.2,25.85,72.41,82,21,1.7,few clouds
23,Orocue,CO,4.7912,-71.3354,74.07,93,98,4.72,overcast clouds
24,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,82,40,21.21,light intensity shower rain
25,Tasiilaq,GL,65.6145,-37.6368,30.36,65,71,7.52,broken clouds
26,Sao Filipe,CV,14.8961,-24.4956,77.72,76,73,8.79,broken clouds
27,Banda Aceh,ID,5.5577,95.3222,85.14,65,98,15.23,light rain
